task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
110	22/b85c08	55674	minimap_pipeline:minimap (oy42_SQK-NBD114-24_barcode02)	COMPLETED	0	2024-12-22 19:02:29.171	3m 18s	3m 17s	205.7%	6.5 GB	10.5 GB	9 GB	7.1 GB
117	ea/2c1778	84334	minimap_pipeline:minimap (S17_SQK-NBD114-24_barcode05)	COMPLETED	0	2024-12-22 19:05:26.825	25.1s	24.7s	215.9%	3.9 GB	6.8 GB	1.6 GB	129.7 MB
114	f8/1357f5	69110	minimap_pipeline:minimap (oy35_SQK-NBD114-24_barcode21)	COMPLETED	0	2024-12-22 19:03:42.408	2m 27s	2m 27s	216.8%	6.3 GB	10.8 GB	7.1 GB	5.3 GB
120	16/536d34	92659	minimap_pipeline:minimap (m05_SQK-NBD114-24_barcode04)	COMPLETED	0	2024-12-22 19:06:09.399	25.3s	24.8s	212.3%	4 GB	9.3 GB	1.6 GB	172.7 MB
115	15/a12882	74038	minimap_pipeline:minimap (oy36_SQK-NBD114-24_barcode22)	COMPLETED	0	2024-12-22 19:04:15.414	2m 46s	2m 45s	221.6%	6.6 GB	10.9 GB	7.8 GB	5.9 GB
121	84/e73221	97066	minimap_pipeline:minimap (m12_SQK-NBD114-24_barcode11)	COMPLETED	0	2024-12-22 19:06:34.741	38.1s	37.8s	201.2%	4 GB	6.9 GB	2.1 GB	636.5 MB
119	86/bb3289	88889	minimap_pipeline:minimap (oy47_SQK-NBD114-24_barcode07)	COMPLETED	0	2024-12-22 19:05:51.932	1m 34s	1m 34s	196.9%	4.5 GB	9.4 GB	4.2 GB	2.6 GB
116	0c/6c9b1d	78740	minimap_pipeline:minimap (S20_SQK-NBD114-24_barcode07)	COMPLETED	0	2024-12-22 19:04:46.955	2m 51s	2m 50s	201.6%	6.1 GB	10.4 GB	7.3 GB	5.4 GB
122	90/aed98e	101178	minimap_pipeline:minimap (oy23_SQK-NBD114-24_barcode12)	COMPLETED	0	2024-12-22 19:07:01.438	1m 17s	1m 16s	198.7%	4.7 GB	9.9 GB	3.9 GB	2.3 GB
123	fd/4b7549	103599	minimap_pipeline:minimap (oy46_SQK-NBD114-24_barcode06)	COMPLETED	0	2024-12-22 19:07:12.869	1m 6s	1m 5s	201.1%	4.6 GB	9.8 GB	3.1 GB	1.6 GB
126	21/343056	114651	minimap_pipeline:minimap (m13_SQK-NBD114-24_barcode12)	COMPLETED	0	2024-12-22 19:08:18.135	26.8s	26.2s	210.7%	4 GB	6.9 GB	1.7 GB	197.7 MB
118	c7/4e3585	87745	minimap_pipeline:minimap (oy45_SQK-NBD114-24_barcode05)	COMPLETED	0	2024-12-22 19:05:46.906	3m 16s	3m 16s	221.5%	6.3 GB	10.5 GB	8.3 GB	6.4 GB
125	4d/2203a1	108918	minimap_pipeline:minimap (oy15_SQK-NBD114-24_barcode07)	COMPLETED	0	2024-12-22 19:07:38.364	1m 38s	1m 38s	215.3%	4.5 GB	9.3 GB	4.4 GB	2.8 GB
130	24/440502	3826	minimap_pipeline:minimap (m09_SQK-NBD114-24_barcode08)	COMPLETED	0	2024-12-22 19:09:16.877	24s	23.5s	207.0%	2.8 GB	5.9 GB	1.5 GB	87.2 MB
124	a1/7ea7f0	106292	minimap_pipeline:minimap (oy52_SQK-NBD114-24_barcode11)	COMPLETED	0	2024-12-22 19:07:25.782	2m 18s	2m 18s	192.2%	5 GB	9.7 GB	6.3 GB	4.6 GB
127	dd/f27dca	114851	minimap_pipeline:minimap (oy22_SQK-NBD114-24_barcode11)	COMPLETED	0	2024-12-22 19:08:18.935	1m 45s	1m 44s	198.6%	4.4 GB	9.4 GB	5.3 GB	3.5 GB
129	57/552e05	1007	minimap_pipeline:minimap (oy43_SQK-NBD114-24_barcode03)	COMPLETED	0	2024-12-22 19:09:03.163	1m 9s	1m 8s	195.5%	4.4 GB	9.7 GB	3.2 GB	1.7 GB
133	59/f103d7	12879	minimap_pipeline:minimap (oy27_SQK-NBD114-24_barcode16)	COMPLETED	0	2024-12-22 19:10:03.886	1m 32s	1m 31s	211.1%	5.1 GB	10.1 GB	4.7 GB	3 GB
128	76/bbd4af	120125	minimap_pipeline:minimap (m31_SQK-NBD114-24_barcode09)	COMPLETED	0	2024-12-22 19:08:45.008	4m 3s	4m 3s	187.2%	7.9 GB	11.5 GB	10.5 GB	8.6 GB
134	2b/9c8b0d	14772	minimap_pipeline:minimap (m27_SQK-NBD114-24_barcode05)	COMPLETED	0	2024-12-22 19:10:12.088	2m 38s	2m 37s	199.0%	6.2 GB	10.7 GB	6.5 GB	4.7 GB
135	72/28c1ec	25287	minimap_pipeline:minimap (oy09_SQK-NBD114-24_barcode01)	COMPLETED	0	2024-12-22 19:11:35.867	1m 32s	1m 32s	220.3%	5 GB	9.9 GB	4.1 GB	2.5 GB
136	67/07e037	34360	minimap_pipeline:minimap (m11_SQK-NBD114-24_barcode10)	COMPLETED	0	2024-12-22 19:12:47.954	31.2s	30.6s	203.6%	4 GB	6.8 GB	1.8 GB	346.4 MB
131	19/91cb0c	7869	minimap_pipeline:minimap (m26_SQK-NBD114-24_barcode04)	COMPLETED	0	2024-12-22 19:09:40.920	3m 43s	3m 43s	208.9%	6.7 GB	10.5 GB	10 GB	8.1 GB
